MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
Jan-15,1,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,2,Information Architect  ,Science & Policy,Wisdom
Jan-15,3,Information Architect  ,Science & Policy,Wisdom
Jan-15,4,Information Architect  ,Science & Policy,Wisdom
Jan-15,5,Information Architect  ,Science & Policy,Wisdom
Jan-15,6,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,7,Information Governance EO,Operations ,Offsite Storage Issues
Jan-15,8,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,9,Information Governance EO,Operations ,Email
Jan-15,10,Information Architect  ,Human Resources,Wisdom
Jan-15,11,Information Architect  ,Science & Policy,Wisdom
Jan-15,12,Information Architect  ,Operations ,Wisdom
Jan-15,13,Information Architect  ,Science & Policy,Wisdom
Jan-15,14,Information Architect  ,Science & Policy,Wisdom
Jan-15,15,Information Architect  ,Operations ,Wisdom
Jan-15,16,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,17,Information Management  Team Leader,Science & Policy,Email
Jan-15,18,Information Governance EO,Science & Policy,Email
Jan-15,19,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,20,Information Governance EO,Operations ,Copyright
Jan-15,21,Information Management  Team Leader,Communications,Wisdom
Jan-15,22,Information Architect  ,Operations ,Wisdom
Jan-15,23,Information Management  Team Leader,Science & Policy,Email
Jan-15,24,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Jan-15,25,Information Management  Team Leader,Operations ,Wisdom
Jan-15,26,Information Architect  ,Communications,Wisdom
Jan-15,27,Information Architect  ,Operations ,Wisdom
Jan-15,28,Information Management  Team Leader,Human Resources,Records Mgmt Advice
Jan-15,29,Information Architect  ,Finance & Strategic Planning,Sharepoint Sites
Jan-15,30,Information Governance EO,Private Office,Email
Jan-15,31,Information Governance Manager,Science & Policy,Data Sharing
Jan-15,32,Information Management  Team Leader,Private Office,Wisdom
Jan-15,33,Information Management  Team Leader,Communications,Wisdom
Jan-15,34,Information Management  Team Leader,Regulatory & Legal Strategy,Non IKM Queries
Jan-15,35,Information Architect  ,Operations ,Wisdom
Jan-15,36,Information Architect  ,Operations ,Wisdom
Jan-15,37,Information Governance Manager,Finance & Strategic Planning,Info Assurance Questionnaire
Jan-15,38,Information Governance Manager,Operations ,Info Assurance Questionnaire
Jan-15,39,Information Architect  ,Science & Policy,Wisdom
Jan-15,40,Information Governance EO,Finance & Strategic Planning,Non IKM Queries
Jan-15,41,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,42,Information Management  Team Leader,External - FSA Contractor,Wisdom
Jan-15,43,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jan-15,44,Information Architect  ,Operations ,Wisdom
Jan-15,45,Information Governance Manager,Science & Policy,Data Protection Advice
Jan-15,46,Information Architect  ,Operations ,Wisdom
Jan-15,47,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,48,Information Architect  ,Finance & Strategic Planning,Wisdom
Jan-15,49,Information Architect  ,Human Resources,Wisdom
Jan-15,50,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jan-15,51,Information Architect  ,Operations ,Wisdom
Jan-15,52,Information Architect  ,Science & Policy,Wisdom
Jan-15,53,Information Architect  ,Science & Policy,Wisdom
